timestamp,minChannelLoad
2024-07-25 01:32:29,.01663
2024-07-25 01:32:30,.01007
2024-07-25 01:32:31,.13229
2024-07-25 01:32:32,.78770
2024-07-25 01:32:34,.78823
2024-07-25 01:32:35,.79528
2024-07-25 01:32:36,.79166
2024-07-25 01:32:37,.79147
2024-07-25 01:32:38,.79054
2024-07-25 01:32:39,.79076
2024-07-25 01:32:40,.79304
2024-07-25 01:32:41,.79085
2024-07-25 01:32:42,.78980
2024-07-25 01:32:43,.79155
2024-07-25 01:32:44,.78461
2024-07-25 01:32:46,.78985
2024-07-25 01:32:47,.78442
2024-07-25 01:32:48,.79059
2024-07-25 01:32:49,.78985
2024-07-25 01:32:50,.79076
2024-07-25 01:32:51,.78735
2024-07-25 01:32:52,.79326
2024-07-25 01:32:53,.79438
2024-07-25 01:32:54,.79029
2024-07-25 01:32:55,.78713
2024-07-25 01:32:56,.79166
2024-07-25 01:32:58,.79166
2024-07-25 01:32:59,.79257
2024-07-25 01:33:00,.79155
2024-07-25 01:33:01,.79193
2024-07-25 01:33:02,.79038
2024-07-25 01:33:03,.79276
2024-07-25 01:33:04,.79120
2024-07-25 01:33:05,.79329
2024-07-25 01:33:06,.79076
2024-07-25 01:33:07,.79076
2024-07-25 01:33:08,.79029
2024-07-25 01:33:10,.79230
2024-07-25 01:33:11,.78532
2024-07-25 01:33:12,.76470
2024-07-25 01:33:13,.77285
2024-07-25 01:33:14,.78577
2024-07-25 01:33:15,.77536
2024-07-25 01:33:16,.78260
2024-07-25 01:33:17,.77083
2024-07-25 01:33:18,.77931
2024-07-25 01:33:19,.77828
2024-07-25 01:33:20,.76660
2024-07-25 01:33:21,.77842
2024-07-25 01:33:23,.77137
2024-07-25 01:33:24,.77355
2024-07-25 01:33:25,.76648
2024-07-25 01:33:26,.75024
2024-07-25 01:33:27,.77329
2024-07-25 01:33:28,.77989
2024-07-25 01:33:29,.77189
2024-07-25 01:33:30,.78296
2024-07-25 01:33:31,.77500
2024-07-25 01:33:32,.78682
2024-07-25 01:33:33,.14480
2024-07-25 01:33:34,.01729
2024-07-25 01:33:35,.02113
