timestamp,minChannelLoad
2024-07-25 01:39:11,.50746
2024-07-25 01:39:12,.84786
2024-07-25 01:39:13,.85223
2024-07-25 01:39:14,.85329
2024-07-25 01:39:15,.85106
2024-07-25 01:39:16,.85286
2024-07-25 01:39:17,.85408
2024-07-25 01:39:18,.85410
2024-07-25 01:39:19,.85467
2024-07-25 01:39:21,.85796
2024-07-25 01:39:22,.85050
2024-07-25 01:39:23,.85533
2024-07-25 01:39:24,.84865
2024-07-25 01:39:25,.85410
2024-07-25 01:39:26,.85860
2024-07-25 01:39:27,.85315
2024-07-25 01:39:28,.85555
2024-07-25 01:39:29,.85531
2024-07-25 01:39:30,.85674
2024-07-25 01:39:31,.85329
2024-07-25 01:39:32,.85489
2024-07-25 01:39:33,.85479
2024-07-25 01:39:34,.85316
2024-07-25 01:39:36,.85779
2024-07-25 01:39:37,.85714
2024-07-25 01:39:38,.85700
2024-07-25 01:39:39,.85226
2024-07-25 01:39:40,.85675
2024-07-25 01:39:41,.85811
2024-07-25 01:39:42,.85412
2024-07-25 01:39:43,.85229
2024-07-25 01:39:44,.85505
2024-07-25 01:39:45,.85422
2024-07-25 01:39:46,.85342
2024-07-25 01:39:47,.85368
2024-07-25 01:39:48,.85793
2024-07-25 01:39:49,.85488
2024-07-25 01:39:50,.85408
2024-07-25 01:39:52,.85674
2024-07-25 01:39:53,.85714
2024-07-25 01:39:54,.85261
2024-07-25 01:39:55,.85339
2024-07-25 01:39:56,.85494
2024-07-25 01:39:57,.85363
2024-07-25 01:39:58,.85492
2024-07-25 01:39:59,.85436
2024-07-25 01:40:00,.85412
2024-07-25 01:40:01,.85634
2024-07-25 01:40:02,.85508
2024-07-25 01:40:03,.85936
2024-07-25 01:40:04,.85811
2024-07-25 01:40:05,.85426
2024-07-25 01:40:06,.85846
2024-07-25 01:40:07,.85532
2024-07-25 01:40:08,.85728
2024-07-25 01:40:10,.85714
2024-07-25 01:40:11,.85399
2024-07-25 01:40:12,.85597
2024-07-25 01:40:13,.85422
2024-07-25 01:40:14,.85535
2024-07-25 01:40:15,.85674
2024-07-25 01:40:16,.85395
2024-07-25 01:40:17,.85315
2024-07-25 01:40:18,.85476
2024-07-25 01:40:19,.85141
2024-07-25 01:40:20,.85330
2024-07-25 01:40:21,.84958
2024-07-25 01:40:22,.85145
2024-07-25 01:40:23,.85260
