timestamp,minChannelLoad
2024-07-25 01:42:39,.01398
2024-07-25 01:42:40,.01470
2024-07-25 01:42:41,.04120
2024-07-25 01:42:42,.01846
2024-07-25 01:42:43,.06436
2024-07-25 01:42:44,.04981
2024-07-25 01:42:45,.10237
2024-07-25 01:42:46,.07572
2024-07-25 01:42:48,.07149
2024-07-25 01:42:49,.11786
2024-07-25 01:42:50,.10769
2024-07-25 01:42:51,.09148
2024-07-25 01:42:52,.03985
2024-07-25 01:42:53,.08240
2024-07-25 01:42:54,.06974
2024-07-25 01:42:55,.09683
2024-07-25 01:42:56,.06843
2024-07-25 01:42:57,.04257
2024-07-25 01:42:59,.04710
2024-07-25 01:43:00,.04636
2024-07-25 01:43:01,.09240
2024-07-25 01:43:02,.07776
2024-07-25 01:43:03,.06442
2024-07-25 01:43:04,.06877
2024-07-25 01:43:05,.07692
2024-07-25 01:43:06,.06250
2024-07-25 01:43:07,.06877
2024-07-25 01:43:08,.08815
2024-07-25 01:43:10,.09773
2024-07-25 01:43:11,.10588
2024-07-25 01:43:12,.05253
2024-07-25 01:43:13,.05706
2024-07-25 01:43:14,.04434
2024-07-25 01:43:15,.06739
2024-07-25 01:43:16,.04528
2024-07-25 01:43:17,.03818
2024-07-25 01:43:18,.07971
2024-07-25 01:43:19,.09782
2024-07-25 01:43:21,.06431
2024-07-25 01:43:22,.04347
2024-07-25 01:43:23,.06469
2024-07-25 01:43:24,.02805
2024-07-25 01:43:25,.03290
2024-07-25 01:43:26,.03260
2024-07-25 01:43:27,.02626
2024-07-25 01:43:28,.00814
2024-07-25 01:43:29,.00996
2024-07-25 01:43:30,.02104
2024-07-25 01:43:31,.01068
2024-07-25 01:43:33,.00960
2024-07-25 01:43:34,.00904
2024-07-25 01:43:35,.01195
2024-07-25 01:43:36,.00905
2024-07-25 01:43:37,.01002
2024-07-25 01:43:38,.01730
2024-07-25 01:43:39,.01447
