20240724235112,192.168.100.25,44046,192.168.100.26,5001,1,0.0-1.0,664820,5318560
20240724235112,192.168.100.25,44050,192.168.100.26,5001,2,0.0-1.0,137624,1100992
20240724235112,192.168.100.25,0,192.168.100.26,5001,-1,0.0-1.0,802444,6419552
20240724235113,192.168.100.25,44046,192.168.100.26,5001,1,1.0-2.0,647132,5177056
20240724235113,192.168.100.25,44050,192.168.100.26,5001,2,1.0-2.0,188240,1505920
20240724235113,192.168.100.25,0,192.168.100.26,5001,-1,1.0-2.0,835372,6682976
20240724235114,192.168.100.25,44046,192.168.100.26,5001,1,2.0-3.0,655944,5247552
20240724235114,192.168.100.25,44050,192.168.100.26,5001,2,2.0-3.0,170864,1366912
20240724235114,192.168.100.25,0,192.168.100.26,5001,-1,2.0-3.0,826808,6614464
20240724235115,192.168.100.25,44046,192.168.100.26,5001,1,3.0-4.0,650276,5202208
20240724235115,192.168.100.25,44050,192.168.100.26,5001,2,3.0-4.0,169416,1355328
20240724235115,192.168.100.25,0,192.168.100.26,5001,-1,3.0-4.0,819692,6557536
20240724235116,192.168.100.25,44046,192.168.100.26,5001,1,4.0-5.0,654372,5234976
20240724235116,192.168.100.25,44050,192.168.100.26,5001,2,4.0-5.0,159280,1274240
20240724235116,192.168.100.25,0,192.168.100.26,5001,-1,4.0-5.0,813652,6509216
20240724235117,192.168.100.25,44046,192.168.100.26,5001,1,5.0-6.0,664632,5317056
20240724235117,192.168.100.25,44050,192.168.100.26,5001,2,5.0-6.0,146248,1169984
20240724235117,192.168.100.25,0,192.168.100.26,5001,-1,5.0-6.0,810880,6487040
20240724235118,192.168.100.25,44046,192.168.100.26,5001,1,6.0-7.0,651600,5212800
20240724235118,192.168.100.25,44050,192.168.100.26,5001,2,6.0-7.0,152040,1216320
20240724235118,192.168.100.25,0,192.168.100.26,5001,-1,6.0-7.0,803640,6429120
20240724235119,192.168.100.25,44046,192.168.100.26,5001,1,7.0-8.0,657392,5259136
20240724235119,192.168.100.25,44050,192.168.100.26,5001,2,7.0-8.0,166520,1332160
20240724235119,192.168.100.25,0,192.168.100.26,5001,-1,7.0-8.0,823912,6591296
20240724235120,192.168.100.25,44046,192.168.100.26,5001,1,8.0-9.0,667652,5341216
20240724235120,192.168.100.25,44050,192.168.100.26,5001,2,8.0-9.0,175208,1401664
20240724235120,192.168.100.25,0,192.168.100.26,5001,-1,8.0-9.0,842860,6742880
20240724235121,192.168.100.25,44046,192.168.100.26,5001,1,9.0-10.0,689124,5512992
20240724235121,192.168.100.25,44050,192.168.100.26,5001,2,9.0-10.0,156384,1251072
20240724235121,192.168.100.25,0,192.168.100.26,5001,-1,9.0-10.0,845508,6764064
20240724235122,192.168.100.25,44046,192.168.100.26,5001,1,10.0-11.0,686352,5490816
20240724235122,192.168.100.25,44050,192.168.100.26,5001,2,10.0-11.0,147696,1181568
20240724235122,192.168.100.25,0,192.168.100.26,5001,-1,10.0-11.0,834048,6672384
20240724235123,192.168.100.25,44046,192.168.100.26,5001,1,11.0-12.0,729916,5839328
20240724235123,192.168.100.25,44050,192.168.100.26,5001,2,11.0-12.0,115840,926720
20240724235123,192.168.100.25,0,192.168.100.26,5001,-1,11.0-12.0,845756,6766048
20240724235124,192.168.100.25,44046,192.168.100.26,5001,1,12.0-13.0,690572,5524576
20240724235124,192.168.100.25,44050,192.168.100.26,5001,2,12.0-13.0,159280,1274240
20240724235124,192.168.100.25,0,192.168.100.26,5001,-1,12.0-13.0,849852,6798816
20240724235125,192.168.100.25,44046,192.168.100.26,5001,1,13.0-14.0,674768,5398144
20240724235125,192.168.100.25,44050,192.168.100.26,5001,2,13.0-14.0,170864,1366912
20240724235125,192.168.100.25,0,192.168.100.26,5001,-1,13.0-14.0,845632,6765056
20240724235126,192.168.100.25,44046,192.168.100.26,5001,1,14.0-15.0,668976,5351808
20240724235126,192.168.100.25,44050,192.168.100.26,5001,2,14.0-15.0,182448,1459584
20240724235126,192.168.100.25,0,192.168.100.26,5001,-1,14.0-15.0,851424,6811392
20240724235127,192.168.100.25,44046,192.168.100.26,5001,1,15.0-16.0,708072,5664576
20240724235127,192.168.100.25,44050,192.168.100.26,5001,2,15.0-16.0,156384,1251072
20240724235127,192.168.100.25,0,192.168.100.26,5001,-1,15.0-16.0,864456,6915648
20240724235128,192.168.100.25,44046,192.168.100.26,5001,1,16.0-17.0,739928,5919424
20240724235128,192.168.100.25,44050,192.168.100.26,5001,2,16.0-17.0,124528,996224
20240724235128,192.168.100.25,0,192.168.100.26,5001,-1,16.0-17.0,864456,6915648
20240724235129,192.168.100.25,44046,192.168.100.26,5001,1,17.0-18.0,729792,5838336
20240724235129,192.168.100.25,44050,192.168.100.26,5001,2,17.0-18.0,134664,1077312
20240724235129,192.168.100.25,0,192.168.100.26,5001,-1,17.0-18.0,864456,6915648
20240724235130,192.168.100.25,44046,192.168.100.26,5001,1,18.0-19.0,732812,5862496
20240724235130,192.168.100.25,44050,192.168.100.26,5001,2,18.0-19.0,136112,1088896
